anchor,positive,negative
00821,00473,02100
03951,03797,01822
00308,01866,01872
00788,03639,04055
03561,02705,01899
00751,02720,02656
01743,00329,02468
01451,03553,01058
01866,00680,00248
02507,01433,01678
01712,00851,02146
02421,03970,03937
00372,02059,02997
02102,02240,00985
01503,01158,04512
04238,02255,04210
00709,01627,02151
03154,00844,00322
04158,00596,03255
04000,03779,04179
00659,03587,02452
03541,03176,00210
02084,03140,00733
03488,04612,03492
03303,02864,03580
03608,02305,04129
02131,01536,00362
03404,03708,03970
04737,03142,03493
01441,01725,03116
00568,01165,00912
01854,01337,03103
00136,00480,03947
02656,03770,04366
03493,04275,03655
04640,01586,00042
02032,03718,03784
01967,02817,01764
02657,01718,00047
01314,01852,01895
01426,01156,02335
01158,02439,03694
04720,00621,00473
04299,00066,00844
03548,00285,00720
03359,00402,02974
00776,02090,01591
04630,04053,03835
00695,04669,00336
03703,01507,03332
00888,01600,03700
01462,01136,00850
04360,01848,04547
00350,00374,02169
01180,04780,00128
03207,01062,03083
03353,02479,04696
01508,01405,00746
02661,01743,02743
04612,02843,03441
02549,02656,00128
01551,02933,01575
00926,03755,00051
04846,03653,00832
02029,01768,01505
02325,01762,04250
02177,04678,01319
04438,01131,01404
01712,00851,02199
01075,01683,00147
00700,00251,04767
00188,00880,02703
02896,01026,02474
03820,03179,02846
04490,00206,01838
02983,00056,04117
01835,02868,01645
01129,02452,02544
02265,01454,02261
04795,02684,00290
02880,02205,04446
03607,00976,00133
01486,04727,00398
02335,02661,02821
00640,00148,04735
00240,03039,04820
02024,03043,04743
00444,03976,01620
01644,00077,02562
02486,01180,00977
04372,03877,01320
04548,04792,00699
02380,02212,03218
03046,00164,03930
01104,02836,02163
01873,03316,01276
02886,00274,03020
01827,01561,00337
04938,01354,02800
00214,00716,02348
02673,00882,04645
00833,04534,01912
01530,01478,02895
00484,02513,01332
02692,03997,04638
03467,03142,04747
04398,02741,02723
03177,03877,00668
00218,00309,03702
01170,03734,03419
01721,03782,02177
04807,00226,03548
02536,04718,03972
01239,03646,00429
03286,01502,04955
01511,02692,04357
00049,01745,00713
02460,03858,00708
02038,03231,00791
02511,03572,03570
00832,02335,04405
00515,02272,01302
04590,04895,03329
01741,04290,02586
01634,01294,00664
02602,04981,03541
00132,03306,02941
00077,02309,01276
01038,02649,00350
02221,00779,00733
03902,01806,02825
03851,02720,04679
00804,03535,03858
02601,00525,04699
01718,03582,04332
03240,01326,00300
03673,01763,00681
03049,03723,01023
04736,02866,03798
03649,04898,04298
02422,00533,02910
01981,03192,02196
01071,03194,02744
04317,00753,03635
03109,01784,03629
04086,00127,04748
00788,00359,04055
00493,04283,02198
00827,02950,02094
01962,03867,02141
02915,00851,04564
04833,04415,02915
03100,03319,03818
01371,04684,00413
01508,04654,00774
03280,01928,00311
00509,03691,02920
04210,00164,00846
04888,01019,01538
02967,00523,04799
01383,02276,01559
00147,03993,02305
00632,00525,04543
01511,02692,02460
02429,01076,02205
02481,02744,04096
00473,01942,01763
03255,04032,01968
00724,02585,04903
03248,04204,00367
04026,03020,01848
03255,03559,03883
01361,00269,01081
04488,04671,00622
02447,04892,04289
04744,03710,04577
04968,03383,01678
04789,00755,02077
00709,02930,01888
01048,01649,04492
04983,03403,02090
04944,03199,03414
03074,00251,01741
04032,02299,03837
00742,02329,02580
01126,02127,00161
03850,00904,02328
01984,03707,04089
04983,01238,01247
04651,01905,04324
03542,03045,02572
02687,01847,02223
04474,04388,01108
03085,03123,01863
00236,03627,04127
02244,02741,02285
00905,01895,04046
00587,01472,04125
00866,02636,04245
00557,03850,03449
00941,01740,03399
00260,01671,03685
04590,00531,00375
02741,01152,03023
00864,01813,01890
03400,02336,01311
04018,03442,03893
02433,02290,04044
01946,00289,03798
02658,00645,00521
01764,02437,01520
02855,02751,03722
01904,00312,02224
00587,01235,02783
01568,02591,03655
03106,04943,04122
00627,02751,01194
00753,01675,03759
02829,00553,03022
03196,04465,01452
04450,02904,00954
04750,00644,04950
01048,04471,04720
02821,03573,02961
04383,02717,03877
04641,04285,01656
04811,02285,02200
03062,02860,03924
00672,04485,04815
02968,04201,02147
01687,00534,02218
00088,01093,02242
04779,00982,02366
00653,03385,00626
03043,00837,00591
00957,00377,03169
03356,01390,04924
03798,04660,01538
04976,04759,01178
00458,01120,04512
01037,04652,01054
03187,00747,00195
03776,03086,03706
04485,04516,04233
00077,00970,02199
03627,01192,04682
04026,03020,00581
01671,04668,00856
03249,03591,04286
02395,03659,02503
02994,01817,00829
03498,01958,00929
00149,01597,04278
04952,00637,01023
03715,04065,04158
04923,03175,00214
03367,00221,00957
02329,03581,00829
01678,00274,01478
03187,00747,04505
02868,03886,03526
01166,03027,00223
04562,00371,01721
02546,03532,00338
04369,02566,00912
03769,02508,01904
04831,04501,04127
01960,01633,04493
02059,00738,03496
03015,03734,03581
01818,01532,01382
01811,03382,02446
03020,02009,01515
01168,00262,02663
04452,04003,04759
02517,00274,02017
02661,01482,00895
00863,00606,03962
00492,00717,04886
00193,04908,03421
04129,00209,04245
01781,04597,01511
04570,00411,02778
01545,02292,01649
04699,02358,00996
03419,03004,01784
04817,03682,03722
04146,04028,02578
04604,00085,01302
00393,01590,00976
00781,03424,03139
02381,03609,00732
00302,02365,01692
03425,00678,02860
03356,04263,04390
03714,00620,02453
01405,04522,04683
01454,04590,03609
04396,02268,04789
03799,04165,03259
03628,03345,01215
00367,03234,00469
03074,00251,03206
00556,03188,03771
02537,03518,00829
01483,02904,04930
00546,01516,01632
03049,03723,02289
00909,03304,00012
00524,04427,04952
01404,03082,01988
00782,04943,04706
01612,03647,03096
02955,00275,03177
00022,04822,01531
00497,04884,01050
02847,03659,01648
01045,02477,04793
02785,02753,04884
03613,04263,04846
00067,04673,03187
02741,04539,01037
03295,00747,00678
04070,00713,02716
00091,01941,03657
04157,04396,02502
04337,03986,04330
03952,03836,01634
03713,02285,01231
03050,04652,01536
03526,02507,02272
04907,00584,00732
04226,02093,03240
00046,04394,02998
04243,02465,00620
04965,02212,04438
04083,02074,03274
04668,01197,01971
00537,02871,01924
03273,04585,02115
00992,04630,02285
02154,01216,02555
03771,03497,03836
03713,02285,00001
00271,00049,02527
01031,04643,01941
01220,02775,00831
01477,02272,00830
03788,00335,00140
01179,04153,03591
02169,02540,01449
02223,03240,02703
00303,01114,04263
02876,03857,03813
00022,00007,04320
04070,00713,03383
03179,00039,03549
04363,00909,02834
00149,03639,03541
00494,02239,04775
00769,04688,01573
02273,03497,01049
02758,02552,01597
02661,01743,04582
04474,01165,01179
03323,04454,02948
00273,01076,04727
01871,04062,02623
00466,03847,04263
02679,03881,04458
02502,00869,04324
01516,00743,04593
00973,04864,00849
00874,04737,03635
04423,00470,04839
01715,02714,02335
01489,00559,02614
00983,01086,00657
04021,03924,02143
01804,02953,04385
02005,03990,01165
04308,02996,04508
00127,00432,01968
02343,01426,02247
01429,00710,02631
02996,00441,04923
03868,01559,03595
02726,02636,02475
02870,01603,03954
00413,00200,02930
00046,02894,04090
01827,01558,00033
02242,03380,03594
03614,02256,02252
02897,04986,01267
00413,00516,02103
02197,03074,04308
01883,01234,00300
04783,02399,00794
00406,03751,02366
04070,04767,02427
01746,00911,02049
01156,03081,02556
00768,04815,02062
04808,01634,03485
04516,01947,04990
01426,00808,01602
03713,01120,01636
04043,00581,01649
02685,02809,00359
02880,03162,02456
03424,01103,00654
00864,01609,04748
02830,02567,04973
04065,04493,02878
04217,01980,03292
01051,00414,03795
00774,03863,00595
01800,02249,00296
03608,00716,02259
03323,01715,01354
03848,00278,02255
03546,00956,01546
02158,01214,03029
04847,03444,03325
01071,02876,04200
02517,00343,02912
03824,02845,01639
03430,00370,02699
03039,04272,01864
00126,03946,04553
04107,04535,02659
03064,00298,03005
02579,02200,01522
02732,00391,03679
04157,03846,04811
01182,01373,01575
02252,00872,00687
00707,01755,00863
04105,01865,03365
03164,03071,03016
00795,00010,01794
01276,00594,00392
02913,04275,02545
03407,01789,01794
02881,03751,04813
02829,00553,00780
02401,02605,03064
02412,04902,02711
02066,00336,02695
03851,01837,00055
03244,03914,00281
03125,01574,03933
03861,01063,02552
01097,00225,04112
00514,01906,01584
03430,04780,03143
01404,03748,01142
01351,04391,02453
03589,03040,02965
01482,00466,04448
01804,02616,02299
03909,02362,00144
01454,04590,04165
03648,02824,02392
00740,02293,01294
01984,02957,01141
04260,01417,02155
00622,04028,01135
03588,03863,04925
01104,03248,02163
01029,02594,01540
00809,03713,01042
03040,03197,04938
03881,03351,00200
04944,02770,04325
01823,04456,02498
00653,01370,00524
02117,04826,03507
02783,00116,03748
04707,00227,04879
04331,03906,01809
02657,02575,01302
01653,03733,04846
03143,01193,03799
02433,02290,03231
01579,00797,01393
00709,01627,03799
00427,02410,03109
04794,03017,03020
02520,00152,04389
01197,01062,01405
03301,01824,01220
00672,00223,02169
00293,00448,02781
04500,00489,01741
00278,04912,03646
01522,04178,03746
03020,02009,00985
04499,01801,02655
02061,04187,01262
04157,01880,01461
00450,00594,01882
04961,03610,03929
03588,01061,02895
00152,03461,03867
04654,01292,01937
04833,03647,01400
00621,02264,03333
00260,00951,02555
00480,03026,00127
00451,02872,03201
01943,00040,03643
00132,01654,00433
00635,00277,00024
01037,04721,04297
04069,01314,02287
01855,02529,02657
00721,03305,01971
02881,03751,01022
02024,01829,01990
00483,00891,00304
01645,00128,01854
04083,00980,00055
04445,00305,03861
04287,01818,00694
02559,00675,02877
00568,02884,01093
01429,04038,03929
04439,04493,02299
02834,00628,03819
01382,01152,01141
00445,02915,02962
04652,02252,01775
02267,04781,02910
03520,01458,02643
01269,04152,01429
04590,00531,01778
01883,01234,00233
01188,02131,01181
02054,04569,00384
00972,00525,04128
00126,03666,04923
00228,04356,00694
04965,02212,00170
03650,00414,02388
00010,02235,03818
03264,04256,04538
03643,01822,02540
00433,02305,00600
01573,04175,03468
02874,01194,04698
03043,02125,03945
04122,04422,02479
04596,03406,02988
03138,04202,00878
02112,04728,04612
02304,00476,01412
04343,04454,00033
00591,04056,01819
03291,01180,02659
01721,04099,00868
04248,03776,03616
04979,01249,02631
00622,04028,00305
00677,02194,00764
03651,00695,04485
00846,00815,00476
02081,04317,00333
03344,04294,03073
01764,02437,01935
01817,01154,00235
02291,00054,04941
00303,01915,01891
04921,00013,00476
03316,03873,00701
00675,04261,00358
00354,00509,03485
03605,04475,03740
03560,04493,01351
03116,04247,02249
00830,03183,02933
03387,00509,01591
03504,00461,03725
01472,00765,04143
04669,02013,01104
00859,03813,03282
00240,02495,02904
00853,03601,00025
04961,03610,00601
01399,04394,01890
02046,02411,00352
02881,02842,02897
04264,03031,02103
00442,03671,01809
01114,02417,01691
01637,02902,04984
01990,04558,02998
04160,04747,03017
02830,03134,04871
02855,01338,03722
03338,01505,00230
03734,00206,00366
02331,02528,03014
03832,01307,00812
04620,04943,03400
00076,02154,01474
03944,01645,04278
01604,01728,00377
00682,00952,00895
01350,01705,01207
00466,01866,00147
04789,00235,01313
04106,00872,04790
03248,04795,01591
00340,02912,03957
02335,02485,03298
02371,03116,01390
02533,00288,03446
03023,01690,03510
00721,03305,04377
01182,00041,04256
00493,00041,03165
03424,03974,00768
02874,04877,02870
01352,00214,04073
03503,04652,02893
04109,00456,01158
01749,02254,04733
01531,03702,04077
00026,01108,04731
04869,03985,02359
02143,02326,01172
03560,01026,03906
01012,02176,02036
01706,03890,01233
04402,03978,00539
02082,01420,03360
02006,02750,00882
01718,00469,02152
03563,01673,01325
02907,00391,01312
02252,04172,00545
00779,00535,03461
02657,04372,02687
04893,02136,02503
04175,01853,02433
01180,04780,03929
